id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020,euphoric,0.01,-5.2
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020,nostalgic,0.85,-12.4
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,78,2010,aggressive,0.02,-4.1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,65,2020,nostalgic,0.90,-14.2
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2020,aggressive,0.00,-3.8
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,60,2010,dreamy,0.95,-18.5
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,70,2010,nostalgic,0.30,-11.2
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,75,2010,dreamy,0.10,-6.8
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,68,2020,calm,0.80,-13.1
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,80,2020,euphoric,0.05,-5.9
